id,baseline/000,baseline/001,baseline/002,baseline/003,baseline/004,baseline/005,baseline/006,baseline/007,baseline/008,baseline/009,baseline/010,baseline/011,baseline/012,holdout/000,holdout/001,holdout/002,holdout/003,holdout/004,holdout/005
./spec/iriq/activate_proposal_spec.rb[1:1:1],2529,2476,6368,3503,2682,4631,6648,3051,6334,4257,23446,2853,2726,3350,2226,2378,2266,2213,2375
./spec/iriq/activate_proposal_spec.rb[1:1:2],2274,2444,3094,2995,2639,5921,3197,2886,5860,3172,2914,2665,2623,3286,2203,2274,2168,2038,2226
./spec/iriq/activate_proposal_spec.rb[1:1:3],4738,5308,6300,6560,5460,7469,9517,6159,29037,6731,5993,5578,5702,5321,5943,5156,4755,4326,4573
./spec/iriq/activate_proposal_spec.rb[1:1:4],2695,19144,3556,3332,17842,4937,5534,3218,20607,3410,2778,2653,2681,2537,2524,2585,2120,2178,2379
./spec/iriq/activate_proposal_spec.rb[1:1:5],51067,32822,57519,41099,37740,60552,53282,55137,71696,70387,36751,61318,35243,36919,29025,30915,27840,27461,29638
./spec/iriq/activate_proposal_spec.rb[1:2:1],1462,1454,1742,1921,1778,2742,1931,1912,1969,1963,1623,1690,1620,1491,1280,1551,1303,1278,1282
./spec/iriq/activate_proposal_spec.rb[1:2:2],767,764,915,990,859,1048,1017,1002,1013,1016,855,907,886,744,699,767,670,713,671
./spec/iriq/calibration_spec.rb[1:1:1],39,39,48,52,45,57,55,53,55,53,46,49,44,39,40,38,37,40,35
./spec/iriq/calibration_spec.rb[1:1:2],35,34,42,45,39,46,73,45,47,46,40,40,38,33,31,32,31,32,30
./spec/iriq/calibration_spec.rb[1:1:3],32,32,38,45,36,42,50,41,43,42,38,37,36,30,29,31,29,29,28
./spec/iriq/calibration_spec.rb[1:1:4],30,29,37,40,33,43,43,39,39,40,35,35,33,28,27,29,26,28,26
./spec/iriq/calibration_spec.rb[1:1:5],30,29,35,39,35,39,41,38,38,39,34,32,33,26,27,27,26,27,27
./spec/iriq/calibration_spec.rb[1:1:6],29,31,33,38,32,37,40,38,39,39,35,32,33,28,27,27,25,26,26
./spec/iriq/calibration_spec.rb[1:1:7],28,29,34,38,31,39,38,38,37,37,34,33,31,28,25,27,25,27,25
./spec/iriq/calibration_spec.rb[1:1:8],37,36,43,48,42,48,52,47,49,47,40,41,39,34,31,33,32,33,33
./spec/iriq/calibration_spec.rb[1:1:9],29,29,34,39,35,36,39,38,39,38,32,33,32,30,25,26,27,26,25
./spec/iriq/calibration_spec.rb[1:1:10],35,33,40,44,38,44,45,44,44,44,37,39,36,32,30,32,31,31,30
./spec/iriq/calibration_spec.rb[1:1:11],39,39,47,50,44,51,53,50,51,51,44,43,44,36,35,37,37,36,36
./spec/iriq/calibration_spec.rb[1:1:12],28,29,35,37,31,37,39,37,37,37,32,30,32,26,25,26,25,25,24
./spec/iriq/calibration_spec.rb[1:1:13],32,32,38,42,36,194,38,42,38,42,33,36,35,28,27,29,29,25,27
./spec/iriq/calibration_spec.rb[1:1:14],37,37,45,48,43,77,54,50,51,51,42,41,41,34,33,36,32,33,33
./spec/iriq/calibration_spec.rb[1:1:15],29,28,35,38,31,48,37,37,38,37,33,31,32,26,24,26,25,26,25
./spec/iriq/calibration_spec.rb[1:1:16],33,33,39,41,36,51,43,43,44,43,37,37,37,31,29,31,29,29,28
./spec/iriq/calibration_spec.rb[1:1:17],35,34,41,44,37,51,46,45,46,46,38,39,37,35,31,33,31,32,31
./spec/iriq/calibration_spec.rb[1:1:18],28,29,33,37,34,40,38,41,39,38,33,37,32,27,25,27,26,26,27
./spec/iriq/calibration_spec.rb[1:1:19],29,30,37,39,34,43,40,37,40,36,35,33,31,29,25,29,25,26,25
./spec/iriq/calibration_spec.rb[1:1:20],28,28,32,37,32,39,37,37,37,37,31,32,31,26,23,26,24,25,24
./spec/iriq/calibration_spec.rb[1:1:21],27,27,33,37,31,36,39,38,36,37,31,32,31,25,24,26,29,24,26
./spec/iriq/calibration_spec.rb[1:1:22],27,103,124,135,30,151,149,134,38,146,33,35,30,26,23,27,25,93,95
./spec/iriq/calibration_spec.rb[1:1:23],29,28,33,39,31,100,42,37,36,38,31,30,120,27,24,25,25,24,26
./spec/iriq/calibration_spec.rb[1:1:24],28,27,33,39,113,63,37,38,139,37,31,34,31,26,90,25,95,24,26
./spec/iriq/calibration_spec.rb[1:1:25],27,29,32,37,32,48,40,36,41,36,35,32,31,30,26,28,26,26,26
./spec/iriq/calibration_spec.rb[1:1:26],31,27,33,35,31,44,37,35,36,39,32,36,30,27,27,28,25,24,25
./spec/iriq/calibration_spec.rb[1:1:27],27,27,32,36,31,40,36,37,37,35,31,31,31,27,25,26,24,24,25
./spec/iriq/calibration_spec.rb[1:1:28],28,27,32,37,30,38,35,36,36,36,32,31,31,27,24,26,24,24,25
./spec/iriq/calibration_spec.rb[1:1:29],27,28,33,35,29,39,36,35,35,36,30,31,30,26,24,26,23,24,25
./spec/iriq/calibration_spec.rb[1:1:30],28,26,33,36,31,42,37,36,35,36,30,30,30,26,24,26,25,24,26
./spec/iriq/calibration_spec.rb[1:1:31],27,27,33,36,31,39,36,36,36,36,31,31,30,46,23,26,24,24,25
./spec/iriq/calibration_spec.rb[1:1:32],30,31,37,41,35,49,41,39,42,43,34,35,35,38,28,30,27,26,41
./spec/iriq/calibration_spec.rb[1:1:33],29,29,35,38,32,41,38,38,38,38,33,32,31,29,24,27,27,25,27
./spec/iriq/calibration_spec.rb[1:1:34],29,30,36,41,33,40,39,37,39,40,34,35,33,29,26,29,27,25,28
./spec/iriq/calibration_spec.rb[1:1:35],58,30,36,37,34,39,80,77,78,39,32,34,31,27,54,27,26,26,26
./spec/iriq/calibration_spec.rb[1:1:36],29,29,34,39,32,38,41,38,39,38,33,30,31,26,25,27,25,25,26
./spec/iriq/calibration_spec.rb[1:1:37],30,31,38,40,37,42,45,40,40,39,34,33,36,31,27,28,28,27,27
./spec/iriq/calibration_spec.rb[1:1:38],31,34,37,40,34,43,41,41,41,40,35,34,34,29,27,29,27,27,28
./spec/iriq/calibration_spec.rb[1:1:39],37,37,44,49,42,53,50,49,51,50,41,43,41,39,34,36,36,32,34
./spec/iriq/calibration_spec.rb[1:1:40],31,31,36,40,34,41,40,40,40,40,34,35,34,29,28,29,28,27,27
./spec/iriq/calibration_spec.rb[1:1:41],29,29,34,37,32,38,37,37,37,37,30,30,32,26,25,26,26,24,24
./spec/iriq/calibration_spec.rb[1:1:42],27,27,33,38,33,37,36,36,35,36,30,30,31,26,24,25,24,24,24
./spec/iriq/calibration_spec.rb[1:1:43],27,29,33,37,31,36,37,36,36,35,31,30,31,25,24,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:44],29,30,34,39,33,39,37,39,36,38,33,32,34,27,27,28,26,25,27
./spec/iriq/calibration_spec.rb[1:1:45],28,29,34,37,32,39,39,38,37,37,32,32,34,27,25,27,25,26,25
./spec/iriq/calibration_spec.rb[1:1:46],28,29,34,37,32,39,41,37,39,37,32,32,32,27,26,27,24,25,24
./spec/iriq/calibration_spec.rb[1:1:47],28,29,32,37,30,39,74,37,37,37,31,34,31,27,25,27,25,25,25
./spec/iriq/calibration_spec.rb[1:1:48],27,27,33,37,30,36,51,35,142,36,30,31,30,25,23,28,23,23,23
./spec/iriq/calibration_spec.rb[1:1:49],26,27,32,34,30,35,44,34,82,36,32,31,29,24,23,25,24,23,23
./spec/iriq/calibration_spec.rb[1:1:50],27,28,32,34,32,36,40,34,75,37,30,30,29,25,23,25,24,24,22
./spec/iriq/calibration_spec.rb[1:1:51],27,28,32,36,29,35,40,34,68,36,31,30,29,26,23,26,23,23,23
./spec/iriq/calibration_spec.rb[1:1:52],27,28,48,35,31,51,39,35,67,37,32,31,30,25,24,28,24,25,23
./spec/iriq/calibration_spec.rb[1:1:53],27,28,32,35,30,45,37,35,67,35,30,29,29,25,23,26,23,24,24
./spec/iriq/calibration_spec.rb[1:1:54],31,31,36,40,34,46,44,38,77,41,34,34,33,29,28,32,26,27,27
./spec/iriq/calibration_spec.rb[1:1:55],28,27,32,35,30,39,37,35,66,38,30,29,29,25,24,28,26,24,24
./spec/iriq/calibration_spec.rb[1:1:56],30,30,34,38,33,40,45,38,80,38,35,34,33,29,26,28,26,29,26
./spec/iriq/calibration_spec.rb[1:1:57],28,28,31,35,30,37,37,35,65,37,30,29,30,25,24,26,25,25,23
./spec/iriq/calibration_spec.rb[1:1:58],28,31,33,36,32,39,39,36,74,36,32,31,31,26,25,27,27,25,25
./spec/iriq/calibration_spec.rb[1:1:59],23,24,28,31,27,31,33,31,58,31,27,25,26,22,21,22,22,22,21
./spec/iriq/calibration_spec.rb[1:1:60],29,29,34,37,34,39,39,38,69,37,33,32,32,27,25,32,33,25,25
./spec/iriq/calibration_spec.rb[1:1:61],28,29,34,37,34,38,41,37,63,38,33,31,32,26,24,26,27,24,25
./spec/iriq/calibration_spec.rb[1:1:62],29,29,34,36,32,37,38,37,48,36,31,31,33,25,25,26,28,24,24
./spec/iriq/calibration_spec.rb[1:1:63],28,28,33,39,31,38,40,35,46,37,31,30,32,25,24,26,26,24,24
./spec/iriq/calibration_spec.rb[1:1:64],28,30,34,36,31,37,42,36,42,37,31,30,31,26,24,26,26,24,24
./spec/iriq/calibration_spec.rb[1:1:65],29,29,32,36,30,37,36,35,38,53,30,28,30,25,24,25,25,23,25
./spec/iriq/calibration_spec.rb[1:1:66],35,26,30,30,26,31,32,30,32,31,27,26,25,21,21,21,21,20,19
./spec/iriq/calibration_spec.rb[1:1:67],27,28,32,35,32,104,36,34,37,35,30,29,30,25,24,25,23,23,24
./spec/iriq/calibration_spec.rb[1:1:68],27,28,32,36,31,127,41,34,37,49,31,29,30,24,23,24,24,24,23
